,teamID,yearID,G,W,L,H,AB,SB,HR,2B,3B,R,ERA,RA,IPouts,HA,BBA,BAVG,SLG,H/BBA,IP,WHIP,Run_Buckets
0,ARI,2015,162,79,83,1494,5649,132,154,289,48,720,4.04,713,4400,1450,500,0.264471588,0.41440963,1950,1466.666667,1.329545455,MID
1,ARI,2016,162,69,93,1479,5665,137,190,285,56,752,5.09,890,4354,1563,603,0.261076787,0.431774051,2166,1451.333333,1.492420763,MID-HIGH
2,ARI,2017,162,93,69,1405,5525,103,220,314,39,812,3.66,659,4323,1309,516,0.254298643,0.444705882,1825,1441,1.26648161,HIGH
3,ARI,2018,162,82,80,1283,5460,79,176,259,50,693,3.72,644,4389,1313,522,0.234981685,0.397435897,1835,1463,1.254272044,LOW-MID
4,ARI,2019,162,85,77,1419,5633,88,220,288,40,813,4.25,743,4395,1400,516,0.251908397,0.434404403,1916,1465,1.307849829,HIGH
5,ARI,2021,162,52,110,1297,5489,43,144,308,31,679,5.11,893,4252,1480,555,0.236290763,0.382401166,2035,1417.333333,1.43579492,LOW-MID
6,ARI,2022,162,74,88,1232,5351,104,173,262,24,702,4.25,740,4290,1345,504,0.230237339,0.385161652,1849,1430,1.293006993,LOW-MID
7,ATL,2015,162,67,95,1361,5420,69,100,251,18,573,4.41,760,4276,1462,550,0.251107011,0.359409594,2012,1425.333333,1.411599626,LOW
8,ATL,2016,161,68,93,1404,5514,75,122,295,27,649,4.51,779,4343,1414,547,0.254624592,0.384294523,1961,1447.666667,1.354593599,LOW
9,ATL,2017,162,72,90,1467,5584,77,165,289,26,732,4.72,821,4324,1463,584,0.2627149,0.412428367,2047,1441.333333,1.420212766,MID
10,ATL,2018,162,90,72,1433,5582,90,175,314,29,759,3.75,657,4370,1236,635,0.256718022,0.417413114,1871,1456.666667,1.284439359,MID-HIGH
11,ATL,2019,162,97,65,1432,5560,89,249,277,29,855,4.19,743,4352,1421,548,0.257553957,0.452158273,1969,1450.666667,1.357306985,HIGH
12,ATL,2021,161,88,73,1307,5363,59,239,269,20,790,3.88,656,4232,1237,516,0.24370688,0.435017714,1753,1410.666667,1.242674858,MID-HIGH
13,ATL,2022,162,101,61,1394,5509,87,243,298,11,789,3.46,609,4344,1224,500,0.253040479,0.443456163,1724,1448,1.190607735,MID-HIGH
14,BAL,2015,162,81,81,1370,5485,44,217,246,20,713,4.05,693,4304,1406,483,0.249772106,0.420601641,1889,1434.666667,1.316682156,MID
15,BAL,2016,162,89,73,1413,5524,19,253,265,6,744,4.22,715,4296,1408,545,0.255792904,0.443338161,1953,1432,1.363826816,MID-HIGH
16,BAL,2017,162,75,87,1469,5650,32,232,269,12,743,4.97,841,4323,1505,579,0.26,0.435044248,2084,1441,1.446217904,MID-HIGH
17,BAL,2018,162,47,115,1317,5507,81,188,242,15,622,5.18,892,4293,1552,589,0.239150173,0.390956964,2141,1431,1.496156534,LOW
18,BAL,2019,162,54,108,1379,5596,84,213,252,25,729,5.59,981,4329,1544,561,0.246426019,0.414581844,2105,1443,1.458766459,MID
19,BAL,2021,162,52,110,1296,5420,54,195,266,15,659,5.84,956,4206,1518,563,0.239114391,0.401660517,2081,1402,1.484308131,LOW
20,BAL,2022,162,83,79,1281,5429,95,171,275,25,674,3.97,688,4300,1406,443,0.235955056,0.390311291,1849,1433.333333,1.29,LOW-MID
21,BOS,2015,162,78,84,1495,5640,71,161,294,33,748,4.31,753,4345,1486,478,0.265070922,0.414539007,1964,1448.333333,1.356041427,MID-HIGH
22,BOS,2016,162,93,69,1598,5670,83,208,343,25,878,4,694,4319,1342,490,0.281834215,0.461199295,1832,1439.666667,1.272516786,HIGH
23,BOS,2017,162,93,69,1461,5669,106,168,302,19,785,3.7,668,4447,1384,465,0.25771741,0.406597283,1849,1482.333333,1.247357769,MID-HIGH
24,BOS,2018,162,108,54,1509,5623,125,208,355,31,876,3.75,647,4376,1305,512,0.268362084,0.453494576,1817,1458.666667,1.245658135,HIGH
25,BOS,2019,162,84,78,1554,5770,68,245,345,27,901,4.7,828,4413,1423,605,0.26932409,0.465857886,2028,1471,1.378653977,HIGH
26,BOS,2021,162,92,70,1434,5495,40,219,330,23,829,4.26,749,4257,1409,546,0.260964513,0.448953594,1955,1419,1.377730796,HIGH
27,BOS,2022,162,78,84,1427,5539,52,155,352,12,735,4.53,787,4293,1411,526,0.257627731,0.409460191,1937,1431,1.353598882,MID
28,CHA,2015,162,76,86,1381,5533,68,136,260,27,622,3.98,701,4358,1443,474,0.249593349,0.380083138,1917,1452.666667,1.319642038,LOW
29,CHA,2016,162,78,84,1428,5550,77,168,277,33,686,4.1,715,4340,1422,521,0.257297297,0.40990991,1943,1446.666667,1.343087558,LOW-MID
30,CHA,2017,162,67,95,1412,5513,71,186,256,37,706,4.78,820,4265,1384,632,0.256121894,0.417195719,2016,1421.666667,1.418053927,MID
31,CHA,2018,162,62,100,1332,5523,98,182,259,40,656,4.83,848,4311,1404,653,0.241173275,0.401412276,2057,1437,1.431454419,LOW
32,CHA,2019,161,72,89,1443,5529,63,182,260,20,708,4.9,832,4238,1438,582,0.26098752,0.413998915,2020,1412.666667,1.429919773,MID
33,CHA,2021,162,93,69,1373,5357,57,190,275,22,796,3.73,636,4210,1205,485,0.256300168,0.42225126,1690,1403.333333,1.204275534,HIGH
