,teamID,yearID,G,W,L,H,AB,SB,HR,2B,3B,R,ERA,RA,IPouts,HA,BBA,BAVG,SLG,H/BBA,IP,WHIP
7,ARI,2022,162,74,88,1232,5351,104.0,173,262,24,702,4.25,740,4290,1345,504,0.23023733881517475,0.3851616520276584,1849,1430.0,1.293006993006993
15,ATL,2022,162,101,61,1394,5509,87.0,243,298,11,789,3.46,609,4344,1224,500,0.2530404792158286,0.4434561626429479,1724,1448.0,1.1906077348066297
23,BAL,2022,162,83,79,1281,5429,95.0,171,275,25,674,3.97,688,4300,1406,443,0.23595505617977527,0.39031129121385155,1849,1433.3333333333333,1.29
31,BOS,2022,162,78,84,1427,5539,52.0,155,352,12,735,4.53,787,4293,1411,526,0.25762773063729916,0.40946019137028344,1937,1431.0,1.3535988819007687
39,CHA,2022,162,81,81,1435,5611,58.0,149,272,9,686,3.92,717,4343,1330,533,0.25574763856710037,0.3870967741935484,1863,1447.6666666666667,1.2868984572875892
47,CHN,2022,162,74,88,1293,5425,111.0,159,265,31,657,4.0,731,4331,1342,540,0.2383410138248848,0.3865437788018433,1882,1443.6666666666667,1.3036250288616946
55,CIN,2022,162,62,100,1264,5380,58.0,156,235,18,648,4.86,815,4270,1366,612,0.23494423791821561,0.37230483271375464,1978,1423.3333333333333,1.3896955503512882
63,CLE,2022,162,92,70,1410,5558,119.0,127,273,31,698,3.46,634,4368,1252,435,0.25368837711406983,0.3825116948542641,1687,1456.0,1.1586538461538463
71,COL,2022,162,68,94,1408,5540,45.0,149,280,34,698,5.06,873,4276,1516,539,0.25415162454873647,0.3976534296028881,2055,1425.3333333333333,1.4417680074836297
79,DET,2022,162,66,96,1240,5378,47.0,110,235,27,557,4.04,713,4259,1336,511,0.23056898475269616,0.345667534399405,1847,1419.6666666666667,1.3010096266729279
87,HOU,2022,162,106,56,1341,5409,83.0,214,284,13,737,2.9,518,4336,1121,458,0.24792013311148087,0.423923091144389,1579,1445.3333333333333,1.0924815498154983
95,KCA,2022,162,65,97,1327,5437,104.0,138,247,38,640,4.7,810,4248,1493,589,0.24406842008460547,0.3796211145852492,2082,1416.0,1.4703389830508475
103,LAA,2022,162,73,89,1265,5423,77.0,190,219,31,623,3.77,668,4307,1241,540,0.2332657200811359,0.3901899317720819,1781,1435.6666666666667,1.2405386579986069
111,LAN,2022,162,111,51,1418,5526,98.0,212,325,31,847,2.8,513,4354,1114,407,0.2566051393412957,0.4417300036192544,1521,1451.3333333333333,1.048001837390905
119,MIA,2022,162,69,93,1241,5395,122.0,144,248,20,586,3.86,676,4312,1311,511,0.23002780352177943,0.3634847080630213,1822,1437.3333333333333,1.2676252319109462
127,MIL,2022,162,86,76,1271,5417,96.0,219,251,17,725,3.83,688,4338,1238,521,0.23463171497138638,0.40852870592578916,1759,1446.0,1.2164591977869985
135,MIN,2022,162,78,84,1356,5476,38.0,178,269,18,696,3.98,684,4311,1320,468,0.24762600438276114,0.4008400292184076,1788,1437.0,1.244258872651357
143,NYA,2022,162,99,63,1308,5422,102.0,254,225,8,807,3.3,567,4355,1177,444,0.24123939505717448,0.4262264846919956,1621,1451.6666666666667,1.1166475315729048
151,NYN,2022,162,101,61,1422,5489,62.0,171,272,27,772,3.57,606,4316,1274,428,0.2590635817088723,0.41191473856804517,1702,1438.6666666666667,1.1830398517145504
159,OAK,2022,162,60,102,1147,5314,78.0,137,249,15,568,4.52,770,4279,1394,503,0.2158449378998871,0.34569062852841553,1897,1426.3333333333333,1.3299836410376258
167,PHI,2022,162,87,75,1392,5496,105.0,205,255,29,747,3.97,685,4285,1330,463,0.25327510917030566,0.42212518195050946,1793,1428.3333333333333,1.2553092182030339
175,PIT,2022,162,62,100,1186,5331,89.0,158,221,29,591,4.66,817,4263,1432,586,0.22247233164509472,0.3637216282123429,2018,1421.0,1.4201266713581984
183,SDN,2022,162,89,73,1317,5468,49.0,153,275,18,705,3.81,660,4330,1263,468,0.2408558888076079,0.38167520117044623,1731,1443.3333333333333,1.1993071593533489
191,SEA,2022,162,90,72,1236,5375,83.0,197,229,19,690,3.59,623,4341,1277,447,0.22995348837209303,0.38958139534883723,1724,1447.0,1.1914305459571528
199,SFN,2022,162,81,81,1261,5392,64.0,183,255,18,716,3.85,697,4299,1397,441,0.23386498516320475,0.3896513353115727,1838,1433.0,1.2826238660153524
207,SLN,2022,162,93,69,1386,5496,95.0,197,290,21,772,3.79,637,4307,1335,489,0.2521834061135371,0.42012372634643375,1824,1435.6666666666667,1.270489900162526
215,TBA,2022,162,86,76,1294,5412,95.0,139,296,17,666,3.41,614,4307,1260,384,0.23909830007390984,0.3771249076127125,1644,1435.6666666666667,1.1451126073833293
223,TEX,2022,162,68,94,1308,5478,128.0,198,224,20,707,4.22,743,4305,1345,581,0.23877327491785322,0.3953997809419496,1926,1435.0,1.3421602787456446
231,TOR,2022,162,92,70,1464,5555,67.0,200,307,12,775,3.87,679,4324,1356,424,0.26354635463546355,0.43114311431143115,1780,1441.3333333333333,1.234967622571693
239,WAS,2022,162,55,107,1351,5434,75.0,136,252,20,603,5.0,855,4235,1469,558,0.2486198012513802,0.37743835112256163,2027,1411.6666666666667,1.4358913813459266
